message,model_prediction,user_feedback
Congratulations! You have won a $100 coupon click here to find out more.,1,1
Santosh said he will give me $100 if I won that match,0,0
Sam was ready to lose that bet for Carla,0,0
"Hey John, your number was selected in our loyalty reward draw! Claim your free iPhone 14 here: win-now-prize.com/claim",1,1
Important notice: Your account access is restricted. Verify your details to avoid suspension: securebanking-login.net,1,1
"Thank you for subscribing to Netflix Premium $19.99/month. If you didn’t authorize this, cancel here immediately: scam.netflix.com",0,0
You are eligible for a COVID-19 tax rebate of $842.92. File your claim today: irs-relief-check.com,1,1
Hi how was your day,0,0
"Hi Grandpa, it’s me – I’ve been in a car accident, and my parents aren’t around. Can you please send me money so I can get home? You can wire funds to me here: [Link]",0,0
hi there is everything fine,0,0
You were looking beautiful today,0,0
Are you ready for todays party,0,0
I need to talk ro you rn????,0,0
Your package is waiting for delivery. Click here to reschedule: http://fake-tracking-link.com,1,1
URGENT: Your electricity bill is overdue. Pay now to avoid disconnection.,1,1
You’ve received a refund of $100 from Amazon. Check your account.,0,1
Your friend sent you a $50 gift card. Redeem it here: http://giftcards.cam,1,1
You’ve got 1 new voicemail. Call 1800-123-4567 to listen.,1,1
Win a brand new iPhone! Text WIN to 12345 now!,1,1
Congratulations! You have been selected for a $5000 cash prize. Reply with your bank details to claim.,1,1
Congratulations! You are our lucky winner for a free iPhone 15. Just pay ₹1 shipping!,1,1
"Work from home & earn ₹50,000/month. No experience needed. Msg ‘START’ to 9000090000.",0,1
Your SBI account is temporarily suspended. Please click this link to restore access.,1,1
This is the IRS. You have unpaid dues. Legal action will be taken if you ignore. Call now.,1,1
Hi yo wasssup boi is everythin going good,0,0
Pretty little baby I'm so in love with you....,0,0
We are offering $10000 for every 100000 people shopping from our store. Click here to clam yours.,1,1
Congratulations! You have won an iphone please click here to redeem it bit.ly,1,1
Hi baigan How are you,0,0
